Date,Time,Impact,Event Name,Previous,Forecast,Actual
2012-11-13,10:00am,1,RCM/TIPP Economic Optimism,54,53.8,48.6
2012-11-13,2:00pm,2,Federal Budget Balance,75.0B,-113.5B,-120.0B
2012-11-13,3:30pm,2,FOMC Member Yellen Speaks,,,
2012-11-14,8:30am,3,Core Retail Sales m/m,1.20%,0.20%,0.00%
2012-11-14,8:30am,3,PPI m/m,1.10%,0.20%,-0.20%
2012-11-14,8:30am,3,Retail Sales m/m,1.30%,-0.20%,-0.30%
2012-11-14,8:30am,2,Core PPI m/m,0.00%,0.10%,-0.20%
2012-11-14,10:00am,2,Business Inventories m/m,0.60%,0.50%,0.70%
2012-11-14,2:00pm,3,FOMC Meeting Minutes,,,
2012-11-14,8:45pm,2,FOMC Member Williams Speaks,,,
2012-11-15,8:30am,3,Core CPI m/m,0.10%,0.10%,0.20%
2012-11-15,8:30am,3,CPI y/y,2.00%,2.10%,2.20%
2012-11-15,8:30am,3,Unemployment Claims,361K,372K,439K
2012-11-15,8:30am,2,CPI m/m,0.60%,0.10%,0.10%
2012-11-15,8:30am,2,Empire State Manufacturing Index,-6.2,-7.2,-5.2
2012-11-15,9:00am,2,FOMC Member Lacker Speaks,,,
2012-11-15,10:00am,3,Philly Fed Manufacturing Index,5.7,1.1,-10.7
2012-11-15,10:00am,2,Mortgage Delinquencies,7.58%,,7.40%
2012-11-15,10:30am,1,Natural Gas Storage,21B,-13B,-18B
2012-11-15,11:00am,2,Crude Oil Inventories,1.8M,2.5M,1.1M
2012-11-15,1:20pm,3,Fed Chairman Bernanke Speaks,,,
2012-11-15,6:30pm,1,FOMC Member Dudley Speaks,,,
2012-11-16,9:00am,2,TIC Long-Term Purchases,90.3B,75.0B,3.3B
2012-11-16,9:15am,2,Capacity Utilization Rate,78.20%,78.40%,77.80%
2012-11-16,9:15am,2,Industrial Production m/m,0.20%,0.20%,-0.40%
2012-11-16,3:45pm,2,FOMC Member Lockhart Speaks,,,
2012-11-19,10:00am,3,Existing Home Sales,4.69M,4.76M,4.79M
2012-11-19,10:00am,1,NAHB Housing Market Index,41,41,46
2012-11-20,8:30am,3,Building Permits,0.89M,0.87M,0.87M
2012-11-20,8:30am,2,Housing Starts,0.86M,0.84M,0.89M
2012-11-20,9:00am,2,FOMC Member Lacker Speaks,,,
2012-11-20,12:15pm,3,Fed Chairman Bernanke Speaks,,,
2012-11-21,8:30am,3,Unemployment Claims,451K,415K,410K
2012-11-21,9:00am,2,Flash Manufacturing PMI,51,51.2,52.4
2012-11-21,9:55am,2,Revised UoM Consumer Sentiment,84.9,84.3,82.7
2012-11-21,9:55am,1,Revised UoM Inflation Expectations,3.00%,,3.10%
2012-11-21,10:00am,1,CB Leading Index m/m,0.50%,0.20%,0.20%
2012-11-21,10:30am,2,Crude Oil Inventories,1.1M,0.8M,-1.5M
2012-11-21,12:00pm,1,Natural Gas Storage,-18B,-27B,-38B
2012-11-22,12:00am,-1,Bank Holiday,,,
2012-11-27,6:30am,2,FOMC Member Lockhart Speaks,,,
2012-11-27,8:30am,3,Core Durable Goods Orders m/m,1.70%,-0.60%,1.50%
2012-11-27,8:30am,2,Durable Goods Orders m/m,9.20%,-0.60%,0.00%
2012-11-27,8:30am,2,Fed Chairman Bernanke Speaks,,,
2012-11-27,9:00am,2,S&P/CS Composite-20 HPI y/y,2.00%,2.90%,3.00%
2012-11-27,9:59am,1,Richmond Manufacturing Index,-7,-2,9
2012-11-27,10:00am,3,CB Consumer Confidence,73.1,73.1,73.7
2012-11-27,10:00am,1,HPI m/m,0.50%,0.40%,0.20%
2012-11-27,4:00pm,2,Treasury Currency Report,,,
2012-11-28,10:00am,3,New Home Sales,369K,387K,368K
2012-11-28,10:30am,2,Crude Oil Inventories,-1.5M,0.5M,-0.3M
2012-11-28,11:30am,1,President Obama Speaks,,,
2012-11-28,12:15pm,1,FOMC Member Tarullo Speaks,,,
2012-11-28,2:00pm,2,Beige Book,,,
2012-11-29,8:30am,3,Prelim GDP q/q,2.00%,2.80%,2.70%
2012-11-29,8:30am,3,Unemployment Claims,416K,392K,393K
2012-11-29,8:30am,1,Prelim GDP Price Index q/q,2.80%,2.80%,2.70%
2012-11-29,9:00am,1,FOMC Member Dudley Speaks,,,
2012-11-29,10:00am,3,Pending Home Sales m/m,0.40%,0.90%,5.20%
2012-11-29,10:30am,1,Natural Gas Storage,-38B,-5B,4B
2012-11-30,8:30am,2,Core PCE Price Index m/m,0.10%,0.20%,0.10%
2012-11-30,8:30am,2,Personal Spending m/m,0.80%,0.10%,-0.20%
2012-11-30,8:30am,1,Personal Income m/m,0.40%,0.20%,0.00%
2012-11-30,9:45am,2,Chicago PMI,49.9,50.7,50.4
2012-11-30,5:00pm,2,FOMC Member Stein Speaks,,,
2012-12-03,9:00am,1,Final Manufacturing PMI,52.4,51.7,52.8
2012-12-03,10:00am,3,ISM Manufacturing PMI,51.7,51.5,49.5
2012-12-03,10:00am,1,Construction Spending m/m,0.50%,0.50%,1.40%
2012-12-03,10:00am,1,ISM Manufacturing Prices,55,54.3,52.5
2012-12-03,12:00am,1,Total Vehicle Sales,14.3M,14.8M,15.5M
2012-12-04,10:45am,1,FOMC Member Tarullo Speaks,,,
2012-12-05,8:15am,3,ADP Non-Farm Employment Change,157K,129K,118K
2012-12-05,8:30am,2,Revised Nonfarm Productivity q/q,1.90%,2.70%,2.90%
2012-12-05,8:30am,1,Revised Unit Labor Costs q/q,-0.10%,-0.90%,-1.90%
2012-12-05,10:00am,3,ISM Services PMI,54.2,53.6,54.7
2012-12-05,10:00am,2,Factory Orders m/m,4.50%,0.00%,0.80%
2012-12-05,10:30am,2,Crude Oil Inventories,-0.3M,-0.4M,-2.4M
2012-12-06,7:30am,1,Challenger Job Cuts y/y,11.60%,,34.40%
2012-12-06,8:30am,3,Unemployment Claims,395K,378K,370K
2012-12-06,10:30am,1,Natural Gas Storage,4B,-70B,-73B
2012-12-07,8:30am,3,Non-Farm Employment Change,138K,89K,146K
2012-12-07,8:30am,3,Unemployment Rate,7.90%,7.90%,7.70%
2012-12-07,8:30am,2,Average Hourly Earnings m/m,0.00%,0.20%,0.20%
2012-12-07,9:55am,3,Prelim UoM Consumer Sentiment,82.7,82.4,74.5
2012-12-07,9:55am,1,Prelim UoM Inflation Expectations,3.10%,,3.30%
2012-12-07,3:00pm,1,Consumer Credit m/m,12.2B,10.4B,14.2B
2012-12-11,7:30am,1,NFIB Small Business Index,93.1,92.5,87.5
2012-12-11,8:30am,3,Trade Balance,-40.3B,-42.7B,-42.2B
2012-12-11,10:00am,2,JOLTS Job Openings,3.55M,3.62M,3.68M
2012-12-11,10:00am,1,Final Wholesale Inventories m/m,1.10%,0.50%,0.60%
2012-12-11,10:00am,1,RCM/TIPP Economic Optimism,48.6,51.6,45.1
2012-12-12,8:30am,2,Import Prices m/m,0.30%,-0.40%,-0.90%
2012-12-12,10:30am,2,Crude Oil Inventories,-2.4M,-2.6M,0.8M
2012-12-12,11:30am,2,10-y Bond Auction,1.68|2.6,,1.65|3.0
2012-12-12,12:30pm,3,FOMC Statement,,,
2012-12-12,12:30pm,2,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2012-12-12,1:27pm,2,Federal Budget Balance,-120.0B,-160.0B,-172.1B
2012-12-12,2:00pm,3,FOMC Economic Projections,,,
2012-12-12,2:15pm,3,FOMC Press Conference,,,
2012-12-13,8:30am,3,Core Retail Sales m/m,0.00%,0.00%,0.00%
2012-12-13,8:30am,3,PPI m/m,-0.20%,-0.50%,-0.80%
2012-12-13,8:30am,3,Retail Sales m/m,-0.30%,0.50%,0.30%
2012-12-13,8:30am,3,Unemployment Claims,372K,368K,343K
2012-12-13,8:30am,2,Core PPI m/m,-0.20%,0.20%,0.10%
2012-12-13,8:30am,2,Fed Announcement,,,
2012-12-13,10:00am,2,Business Inventories m/m,0.70%,0.40%,0.40%
2012-12-13,10:30am,1,Natural Gas Storage,-73B,-4B,2B
2012-12-13,1:00pm,1,30-y Bond Auction,2.82|2.8,,2.92|2.5
2012-12-14,8:30am,3,Core CPI m/m,0.20%,0.20%,0.10%
2012-12-14,8:30am,3,CPI y/y,2.20%,1.90%,1.80%
2012-12-14,8:30am,2,CPI m/m,0.10%,-0.20%,-0.30%
2012-12-14,9:00am,2,Flash Manufacturing PMI,52.8,52.6,54.2
2012-12-14,9:15am,2,Capacity Utilization Rate,77.70%,77.90%,78.40%
2012-12-14,9:15am,2,Industrial Production m/m,-0.70%,0.30%,1.10%
2012-12-17,8:30am,2,Empire State Manufacturing Index,-5.2,-0.7,-8.1
2012-12-17,9:00am,2,TIC Long-Term Purchases,3.2B,24.3B,1.3B
2012-12-17,11:00am,2,FOMC Member Stein Speaks,,,
2012-12-17,1:00pm,2,FOMC Member Lacker Speaks,,,
2012-12-18,8:30am,2,Current Account,-118B,-105B,-108B
2012-12-18,10:00am,1,NAHB Housing Market Index,45,47,47
2012-12-19,8:30am,3,Building Permits,0.87M,0.88M,0.90M
2012-12-19,8:30am,2,Housing Starts,0.89M,0.87M,0.86M
2012-12-19,10:30am,2,Crude Oil Inventories,0.8M,-0.9M,-1.0M
2012-12-20,8:30am,3,Unemployment Claims,344K,358K,361K
2012-12-20,8:30am,2,Final GDP q/q,2.70%,2.80%,3.10%
2012-12-20,8:30am,1,Final GDP Price Index q/q,2.70%,2.70%,2.70%
2012-12-20,10:00am,3,Existing Home Sales,4.76M,4.88M,5.04M
2012-12-20,10:00am,3,Philly Fed Manufacturing Index,-10.7,-2.2,8.1
2012-12-20,10:00am,1,CB Leading Index m/m,0.30%,-0.20%,-0.20%
2012-12-20,10:00am,1,HPI m/m,0.00%,0.20%,0.50%
2012-12-20,10:30am,1,Natural Gas Storage,2B,-73B,-82B
2012-12-21,8:30am,3,Core Durable Goods Orders m/m,1.90%,-0.20%,1.60%
2012-12-21,8:30am,2,Core PCE Price Index m/m,0.10%,0.10%,0.00%
2012-12-21,8:30am,2,Durable Goods Orders m/m,1.10%,0.20%,0.70%
2012-12-21,8:30am,2,Personal Spending m/m,-0.10%,0.40%,0.40%
2012-12-21,8:30am,1,Personal Income m/m,0.10%,0.30%,0.60%
2012-12-21,9:55am,2,Revised UoM Consumer Sentiment,74.5,74.9,72.9
2012-12-21,9:55am,1,Revised UoM Inflation Expectations,3.30%,,3.20%
2012-12-25,12:00am,-1,Bank Holiday,,,
2012-12-26,9:00am,2,S&P/CS Composite-20 HPI y/y,3.00%,3.90%,4.30%
2012-12-26,9:59am,1,Richmond Manufacturing Index,9,12,5
2012-12-27,8:30am,3,Unemployment Claims,362K,365K,350K
2012-12-27,10:00am,3,CB Consumer Confidence,71.5,70.3,65.1
2012-12-27,10:00am,3,New Home Sales,361K,382K,377K
2012-12-28,9:45am,2,Chicago PMI,50.4,51.2,51.6
2012-12-28,10:00am,3,Pending Home Sales m/m,5.00%,-0.30%,1.70%
2012-12-28,10:30am,1,Natural Gas Storage,-82B,-73B,-72B
2012-12-28,11:00am,2,Crude Oil Inventories,-1.0M,-1.6M,-0.6M
2013-01-01,12:00am,-1,Bank Holiday,,,
2013-01-02,9:00am,1,Final Manufacturing PMI,54.2,53.2,54
2013-01-02,10:00am,3,ISM Manufacturing PMI,49.5,50.2,50.7
2013-01-02,10:00am,1,Construction Spending m/m,0.70%,0.60%,-0.30%
2013-01-02,10:00am,1,ISM Manufacturing Prices,52.5,51.4,55.5
2013-01-03,7:30am,1,Challenger Job Cuts y/y,34.40%,,-22.10%
2013-01-03,8:15am,3,ADP Non-Farm Employment Change,148K,134K,215K
2013-01-03,8:30am,3,Unemployment Claims,362K,356K,372K
2013-01-03,12:00am,1,Total Vehicle Sales,15.5M,15.3M,15.4M
2013-01-03,2:00pm,3,FOMC Meeting Minutes,,,
2013-01-04,8:30am,3,Non-Farm Employment Change,161K,150K,155K
2013-01-04,8:30am,3,Unemployment Rate,7.70%,7.70%,7.80%
2013-01-04,8:30am,2,Average Hourly Earnings m/m,0.30%,0.20%,0.30%
2013-01-04,10:00am,3,ISM Services PMI,54.7,54.2,56.1
2013-01-04,10:00am,2,Factory Orders m/m,0.80%,0.30%,0.00%
2013-01-04,10:30am,1,Natural Gas Storage,-72B,-129B,-135B
2013-01-04,11:00am,2,Crude Oil Inventories,-0.6M,-0.7M,-11.1M
2013-01-04,3:30pm,2,FOMC Member Yellen Speaks,,,
2013-01-05,10:15am,1,FOMC Member Yellen Speaks,,,
2013-01-08,7:30am,1,NFIB Small Business Index,87.5,87.2,88
2013-01-08,10:00am,1,RCM/TIPP Economic Optimism,45.1,46.3,46.5
2013-01-08,3:00pm,1,Consumer Credit m/m,14.1B,12.9B,16.0B
2013-01-09,10:30am,2,Crude Oil Inventories,-11.1M,0.9M,1.3M
2013-01-09,1:00pm,2,10-y Bond Auction,1.65|3.0,,1.86|2.8
2013-01-10,8:30am,3,Unemployment Claims,367K,361K,371K
2013-01-10,10:00am,2,JOLTS Job Openings,3.67M,3.68M,3.68M
2013-01-10,10:00am,1,Final Wholesale Inventories m/m,0.30%,0.20%,0.60%
2013-01-10,10:30am,1,Natural Gas Storage,-135B,-185B,-201B
2013-01-10,1:00pm,1,30-y Bond Auction,2.92|2.5,,3.07|2.8
2013-01-10,1:10pm,2,FOMC Member George Speaks,,,
2013-01-10,2:00pm,2,FOMC Member Bullard Speaks,,,
2013-01-11,8:30am,3,Trade Balance,-42.1B,-41.1B,-48.7B
2013-01-11,8:30am,2,Import Prices m/m,-0.80%,0.10%,-0.10%
2013-01-11,2:00pm,2,Federal Budget Balance,-172.1B,-11.6B,-0.3B
2013-01-13,8:20pm,2,FOMC Member Evans Speaks,,,
2013-01-14,4:00pm,3,Fed Chairman Bernanke Speaks,,,
2013-01-15,8:00am,2,FOMC Member Rosengren Speaks,,,
2013-01-15,8:30am,3,Core Retail Sales m/m,-0.10%,0.20%,0.30%
2013-01-15,8:30am,3,PPI m/m,-0.80%,-0.10%,-0.20%
2013-01-15,8:30am,3,Retail Sales m/m,0.40%,0.20%,0.50%
2013-01-15,8:30am,2,Core PPI m/m,0.10%,0.20%,0.10%
2013-01-15,8:30am,2,Empire State Manufacturing Index,-8.1,1.9,-7.8
2013-01-15,10:00am,2,Business Inventories m/m,0.30%,0.30%,0.30%
2013-01-16,8:30am,3,Core CPI m/m,0.10%,0.20%,0.10%
2013-01-16,8:30am,3,CPI y/y,1.80%,1.80%,1.70%
2013-01-16,8:30am,2,CPI m/m,-0.30%,0.00%,0.00%
2013-01-16,9:00am,2,TIC Long-Term Purchases,-1.0B,19.8B,52.3B
2013-01-16,9:15am,2,Capacity Utilization Rate,78.70%,78.60%,78.80%
2013-01-16,9:15am,2,Industrial Production m/m,1.00%,0.20%,0.30%
2013-01-16,10:00am,1,NAHB Housing Market Index,47,48,47
2013-01-16,10:30am,2,Crude Oil Inventories,1.3M,2.0M,-1.0M
2013-01-16,2:00pm,2,Beige Book,,,
2013-01-17,8:30am,3,Building Permits,0.90M,0.91M,0.90M
2013-01-17,8:30am,3,Unemployment Claims,372K,369K,335K
2013-01-17,8:30am,2,Housing Starts,0.85M,0.89M,0.95M
2013-01-17,10:00am,3,Philly Fed Manufacturing Index,8.1,7.1,-5.8
2013-01-17,10:30am,1,Natural Gas Storage,-201B,-131B,-148B
2013-01-18,9:55am,3,Prelim UoM Consumer Sentiment,72.9,75.1,71.3
2013-01-18,9:55am,1,Prelim UoM Inflation Expectations,3.20%,,3.40%
2013-01-21,12:00am,-1,Bank Holiday,,,
2013-01-22,9:59am,1,Richmond Manufacturing Index,5,4,-12
2013-01-22,10:00am,3,Existing Home Sales,4.99M,5.09M,4.94M
2013-01-23,9:00am,1,HPI m/m,0.60%,0.70%,0.60%
2013-01-24,8:30am,3,Unemployment Claims,335K,359K,330K
2013-01-24,9:00am,2,Flash Manufacturing PMI,54,53.2,56.1
2013-01-24,10:00am,1,CB Leading Index m/m,0.00%,0.40%,0.50%
2013-01-24,10:30am,1,Natural Gas Storage,-148B,-167B,-172B
2013-01-24,11:00am,2,Crude Oil Inventories,-1.0M,1.9M,2.8M
2013-01-25,10:00am,3,New Home Sales,398K,387K,369K
2013-01-28,8:30am,3,Core Durable Goods Orders m/m,1.20%,0.80%,1.30%
2013-01-28,8:30am,2,Durable Goods Orders m/m,0.80%,1.80%,4.60%
2013-01-28,10:00am,3,Pending Home Sales m/m,1.60%,0.50%,-4.30%
2013-01-29,9:00am,2,S&P/CS Composite-20 HPI y/y,4.20%,5.50%,5.50%
2013-01-29,10:00am,3,CB Consumer Confidence,66.7,64.8,58.6
2013-01-30,8:15am,3,ADP Non-Farm Employment Change,185K,164K,192K
2013-01-30,8:30am,3,Advance GDP q/q,3.10%,1.10%,-0.10%
2013-01-30,8:30am,2,Advance GDP Price Index q/q,2.70%,1.50%,0.60%
2013-01-30,10:30am,2,Crude Oil Inventories,2.8M,2.9M,5.9M
2013-01-30,2:15pm,3,FOMC Statement,,,
2013-01-30,2:15pm,2,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2013-01-31,7:30am,1,Challenger Job Cuts y/y,-22.10%,,-24.40%
2013-01-31,8:30am,3,Unemployment Claims,330K,362K,368K
2013-01-31,8:30am,2,Core PCE Price Index m/m,0.00%,0.10%,0.00%
2013-01-31,8:30am,2,Employment Cost Index q/q,0.40%,0.60%,0.50%
2013-01-31,8:30am,2,Personal Spending m/m,0.40%,0.40%,0.20%
2013-01-31,8:30am,1,Personal Income m/m,1.00%,0.70%,2.60%
2013-01-31,9:45am,2,Chicago PMI,51.6,51.1,55.6
2013-01-31,10:30am,1,Natural Gas Storage,-172B,-202B,-194B
2013-02-01,8:30am,3,Non-Farm Employment Change,196K,161K,157K
2013-02-01,8:30am,3,Unemployment Rate,7.80%,7.80%,7.90%
2013-02-01,8:30am,2,Average Hourly Earnings m/m,0.30%,0.20%,0.20%
2013-02-01,8:30am,1,FOMC Member Dudley Speaks,,,
2013-02-01,9:00am,1,Final Manufacturing PMI,56.1,56.1,55.8
2013-02-01,9:55am,2,Revised UoM Consumer Sentiment,71.3,71.4,73.8
2013-02-01,9:55am,1,Revised UoM Inflation Expectations,3.30%,,3.30%
2013-02-01,10:00am,3,ISM Manufacturing PMI,50.7,50.8,53.1
2013-02-01,10:00am,1,Construction Spending m/m,0.10%,0.60%,0.90%
2013-02-01,10:00am,1,ISM Manufacturing Prices,55.5,56.3,56.5
2013-02-01,12:00am,1,Total Vehicle Sales,15.4M,15.2M,15.3M
2013-02-04,10:00am,2,Factory Orders m/m,-0.30%,2.30%,1.80%
2013-02-04,2:00pm,1,Loan Officer Survey,,,
2013-02-05,8:30am,1,FOMC Member Duke Speaks,,,
2013-02-05,10:00am,3,ISM Services PMI,56.1,55.2,55.2
2013-02-05,10:00am,1,RCM/TIPP Economic Optimism,46.5,46.1,47.3
2013-02-05,1:15pm,1,President Obama Speaks,,,
2013-02-06,10:30am,2,Crude Oil Inventories,5.9M,2.7M,2.6M
2013-02-07,8:30am,3,Unemployment Claims,371K,361K,366K
2013-02-07,8:30am,2,Prelim Nonfarm Productivity q/q,2.90%,-1.30%,-2.00%
2013-02-07,8:30am,2,Prelim Unit Labor Costs q/q,-1.90%,3.10%,4.50%
2013-02-07,9:30am,2,FOMC Member Stein Speaks,,,
2013-02-07,10:30am,1,Natural Gas Storage,-194B,-135B,-118B
2013-02-07,3:00pm,1,Consumer Credit m/m,15.9B,14.1B,14.6B
2013-02-07,8:00pm,2,FOMC Member Evans Speaks,,,
2013-02-08,8:30am,3,Trade Balance,-48.6B,-45.7B,-38.5B
2013-02-08,10:00am,1,Final Wholesale Inventories m/m,0.40%,0.50%,-0.10%
2013-02-11,1:00pm,2,FOMC Member Yellen Speaks,,,
2013-02-12,7:30am,1,NFIB Small Business Index,88,89,88.9
2013-02-12,10:00am,2,JOLTS Job Openings,3.79M,3.73M,3.62M
2013-02-12,11:30am,2,FOMC Member George Speaks,,,
2013-02-12,1:46pm,2,Federal Budget Balance,-0.3B,-4.6B,2.9B
2013-02-12,9:00pm,1,President Obama Speaks,,,
2013-02-13,8:30am,3,Core Retail Sales m/m,0.30%,0.10%,0.20%
2013-02-13,8:30am,3,Retail Sales m/m,0.50%,0.10%,0.10%
2013-02-13,8:30am,2,Import Prices m/m,-0.50%,0.80%,0.60%
2013-02-13,10:00am,3,Treasury Sec Lew Speaks,,,
2013-02-13,10:00am,2,Business Inventories m/m,0.20%,0.30%,0.10%
2013-02-13,10:30am,2,Crude Oil Inventories,2.6M,2.4M,0.6M
2013-02-13,11:10am,2,FOMC Member Bullard Speaks,,,
2013-02-13,1:00pm,2,10-y Bond Auction,1.86|2.8,,2.05|2.7
2013-02-14,8:30am,3,Unemployment Claims,368K,361K,341K
2013-02-14,10:30am,1,FOMC Member Tarullo Speaks,,,
2013-02-14,10:30am,1,Natural Gas Storage,-118B,-166B,-157B
2013-02-14,12:50pm,2,FOMC Member Bullard Speaks,,,
2013-02-14,1:00pm,1,30-y Bond Auction,3.07|2.8,,3.18|2.7
2013-02-15,8:30am,2,Empire State Manufacturing Index,-7.8,-2.1,10
2013-02-15,9:00am,2,TIC Long-Term Purchases,52.4B,34.3B,64.2B
2013-02-15,9:15am,2,Capacity Utilization Rate,79.30%,78.90%,79.10%
2013-02-15,9:15am,2,Industrial Production m/m,0.40%,0.20%,-0.10%
2013-02-15,9:55am,3,Prelim UoM Consumer Sentiment,71.3,74.8,76.3
2013-02-15,9:55am,1,Prelim UoM Inflation Expectations,3.40%,,3.30%
2013-02-16,12:30pm,1,FOMC Member Dudley Speaks,,,
2013-02-18,12:00am,-1,Bank Holiday,,,
2013-02-19,10:00am,1,NAHB Housing Market Index,47,48,46
2013-02-20,8:30am,3,Building Permits,0.91M,0.92M,0.93M
2013-02-20,8:30am,3,PPI m/m,-0.20%,0.30%,0.20%
2013-02-20,8:30am,2,Core PPI m/m,0.10%,0.20%,0.20%
2013-02-20,8:30am,2,Housing Starts,0.97M,0.93M,0.89M
2013-02-20,2:00pm,3,FOMC Meeting Minutes,,,
2013-02-21,8:30am,3,Core CPI m/m,0.10%,0.20%,0.30%
2013-02-21,8:30am,3,CPI y/y,1.70%,1.70%,1.60%
2013-02-21,8:30am,3,Unemployment Claims,342K,353K,362K
2013-02-21,8:30am,2,CPI m/m,0.00%,0.10%,0.00%
2013-02-21,9:00am,2,Flash Manufacturing PMI,55.8,55.6,55.2
2013-02-21,10:00am,3,Existing Home Sales,4.90M,4.89M,4.92M
2013-02-21,10:00am,3,Philly Fed Manufacturing Index,-5.8,1.1,-12.5
2013-02-21,10:00am,2,Mortgage Delinquencies,7.40%,,7.09%
2013-02-21,10:00am,1,CB Leading Index m/m,0.50%,0.20%,0.20%
2013-02-21,10:30am,1,Natural Gas Storage,-157B,-119B,-127B
2013-02-21,11:00am,2,Crude Oil Inventories,0.6M,1.9M,4.1M
2013-02-21,12:30pm,2,FOMC Member Bullard Speaks,,,
2013-02-22,10:30am,2,FOMC Member Powell Speaks,,,
2013-02-22,6:30pm,1,FOMC Member Tarullo Speaks,,,
2013-02-26,9:00am,2,S&P/CS Composite-20 HPI y/y,5.40%,6.70%,6.80%
2013-02-26,9:00am,1,HPI m/m,0.40%,0.60%,0.60%
2013-02-26,9:59am,1,Richmond Manufacturing Index,-12,-4,6
2013-02-26,10:00am,3,CB Consumer Confidence,58.4,60.8,69.6
2013-02-26,10:00am,3,Fed Chairman Bernanke Testifies,,,
2013-02-26,10:00am,3,New Home Sales,378K,381K,437K
2013-02-26,10:00am,1,Fed Monetary Policy Report,,,
2013-02-27,8:30am,3,Core Durable Goods Orders m/m,1.00%,0.30%,1.90%
2013-02-27,8:30am,2,Durable Goods Orders m/m,4.30%,-4.80%,-5.20%
2013-02-27,10:00am,3,Fed Chairman Bernanke Testifies,,,
2013-02-27,10:00am,3,Pending Home Sales m/m,-1.90%,1.70%,4.50%
2013-02-27,10:30am,2,Crude Oil Inventories,4.1M,2.4M,1.1M
2013-02-28,8:30am,3,Prelim GDP q/q,-0.10%,0.50%,0.10%
2013-02-28,8:30am,3,Unemployment Claims,366K,361K,344K
2013-02-28,8:30am,1,Prelim GDP Price Index q/q,0.60%,0.60%,0.90%
2013-02-28,9:45am,2,Chicago PMI,55.6,54.6,56.8
2013-02-28,10:30am,1,Natural Gas Storage,-127B,-165B,-171B
2013-02-28,12:30pm,2,FOMC Member Raskin Speaks,,,
2013-02-28,8:00pm,2,FOMC Member Evans Speaks,,,
2013-03-01,8:30am,2,Core PCE Price Index m/m,0.00%,0.10%,0.10%
2013-03-01,8:30am,2,Personal Spending m/m,0.10%,0.20%,0.20%
2013-03-01,8:30am,1,Personal Income m/m,2.60%,-2.30%,-3.60%
2013-03-01,9:00am,1,Final Manufacturing PMI,55.2,55.2,54.3
2013-03-01,9:55am,2,Revised UoM Consumer Sentiment,76.3,76.3,77.6
2013-03-01,9:55am,1,Revised UoM Inflation Expectations,3.30%,,3.30%
2013-03-01,10:00am,3,ISM Manufacturing PMI,53.1,52.7,54.2
2013-03-01,10:00am,1,Construction Spending m/m,1.10%,0.60%,-2.10%
2013-03-01,10:00am,1,ISM Manufacturing Prices,56.5,57.3,61.5
2013-03-01,12:00am,1,Total Vehicle Sales,15.3M,15.1M,15.4M
2013-03-01,11:35am,1,President Obama Speaks,,,
2013-03-01,10:00pm,3,Fed Chairman Bernanke Speaks,,,
2013-03-04,8:00am,2,FOMC Member Yellen Speaks,,,
2013-03-04,1:15pm,2,FOMC Member Powell Speaks,,,
2013-03-05,10:00am,3,ISM Services PMI,55.2,55,56
2013-03-05,10:00am,1,RCM/TIPP Economic Optimism,47.3,47.8,42.2
2013-03-06,8:15am,3,ADP Non-Farm Employment Change,215K,172K,198K
2013-03-06,10:00am,2,Factory Orders m/m,1.30%,-2.20%,-2.00%
2013-03-06,10:30am,2,Crude Oil Inventories,1.1M,0.9M,3.8M
2013-03-06,2:00pm,2,Beige Book,,,
2013-03-07,7:30am,1,Challenger Job Cuts y/y,-24.40%,,7.00%
2013-03-07,8:30am,3,Trade Balance,-38.1B,-42.8B,-44.4B
2013-03-07,8:30am,3,Unemployment Claims,347K,354K,340K
2013-03-07,8:30am,2,Revised Nonfarm Productivity q/q,-2.00%,-1.60%,-1.90%
2013-03-07,8:30am,1,Revised Unit Labor Costs q/q,4.50%,4.40%,4.60%
2013-03-07,10:30am,1,Natural Gas Storage,-171B,-135B,-146B
2013-03-07,1:15pm,2,FOMC Member Powell Speaks,,,
2013-03-07,3:00pm,1,Consumer Credit m/m,15.1B,15.2B,16.2B
2013-03-07,4:30pm,2,Bank Stress Test Results,,,
2013-03-08,8:30am,3,Non-Farm Employment Change,119K,162K,236K
2013-03-08,8:30am,3,Unemployment Rate,7.90%,7.90%,7.70%
2013-03-08,8:30am,2,Average Hourly Earnings m/m,0.10%,0.20%,0.20%
2013-03-08,10:00am,1,Final Wholesale Inventories m/m,0.10%,0.40%,1.20%
2013-03-08,8:00pm,1,FOMC Member Duke Speaks,,,
2013-03-10,3:00am,-1,Daylight Saving Time Shift,,,
2013-03-12,7:30am,1,NFIB Small Business Index,88.9,91.3,90.8
2013-03-12,11:00am,2,JOLTS Job Openings,3.61M,3.67M,3.69M
2013-03-13,8:30am,3,Core Retail Sales m/m,0.40%,0.50%,1.00%
2013-03-13,8:30am,3,Retail Sales m/m,0.20%,0.50%,1.10%
2013-03-13,8:30am,2,Import Prices m/m,0.60%,0.50%,1.10%
2013-03-13,10:00am,2,Business Inventories m/m,0.30%,0.50%,1.00%
2013-03-13,10:30am,2,Crude Oil Inventories,3.8M,2.3M,2.6M
2013-03-13,1:00pm,2,10-y Bond Auction,2.05|2.7,,2.03|3.2
2013-03-13,1:20pm,2,Federal Budget Balance,2.9B,-200.0B,-203.5B
